"name","kingdom","phylum","class","order","family","genus","species","ages_mean"
"Cochleoceps bicolor","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Cochleoceps","Cochleoceps bicolor",14.921126709546
"Cochleoceps orientalis","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Cochleoceps","Cochleoceps orientalis",10.4513826269575
"Conger verreauxi","Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Conger","Conger verreauxi",91.9438294300034
"Congiopodus peruvianus","Animalia","Chordata","Teleostei","Perciformes","Congiopodidae","Congiopodus","Congiopodus peruvianus",32.1199414975347
"Conniella apterygia","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Conniella","Conniella apterygia",3.69871925432699
"Coradion altivelis","Animalia","Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Coradion","Coradion altivelis",16.1127791748151
"Coradion chrysozonus","Animalia","Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Coradion","Coradion chrysozonus",4.94057402339313
"Coris auricularis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris auricularis",9.80963645290166
"Coris aurilineata","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris aurilineata",9.13127747971513
"Coris aygula","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris aygula",8.36959385098269
"Coris batuensis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris batuensis",7.90201054135153
"Coris bulbifrons","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris bulbifrons",9.53393360236131
"Coris caudimacula","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris caudimacula",8.05427220504704
"Coris centralis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris centralis",7.75652658615106
"Coris cuvieri","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris cuvieri",6.7780150265786
"Coris debueni","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris debueni",9.25700951891129
"Coris dorsomacula","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris dorsomacula",6.44579405361551
"Coris formosa","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris formosa",7.09354837090659
"Coris gaimard","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris gaimard",8.07765666531458
"Coris hewetti","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris hewetti",6.99356788734258
"Coris julis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris julis",11.1190321285381
"Coris picta","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris picta",8.18544808856171
"Coris pictoides","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris pictoides",9.93515793445258
"Coris roseoviridis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris roseoviridis",10.0180853239599
"Coris sandeyeri","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris sandeyeri",9.3041686494429
"Coris venusta","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Coris","Coris venusta",11.3218718559895
"Coryphopterus alloides","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus alloides",21.4339632646969
"Coryphopterus dicrus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus dicrus",25.1950230319745
"Coryphopterus eidolon","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus eidolon",18.982116776035
"Coryphopterus glaucofraenum","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus glaucofraenum",22.5568732937982
"Coryphopterus hyalinus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus hyalinus",22.3409936514411
"Coryphopterus lipernes","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus lipernes",21.7559700899359
"Coryphopterus personatus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus personatus",22.2042466172213
"Coryphopterus thrix","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus thrix",17.9155998542316
"Coryphopterus tortugae","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus tortugae",25.5702943203283
"Coryphopterus urospilus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Coryphopterus","Coryphopterus urospilus",23.5762044178661
"Cratinus agassizii","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Cratinus","Cratinus agassizii",12.5011048363797
"Cremnochorites capensis","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Cremnochorites","Cremnochorites capensis",12.5342207573286
"Crenimugil crenilabis","Animalia","Chordata","Teleostei","Mugiliformes","Mugilidae","Crenimugil","Crenimugil crenilabis",45.7735511774841
"Cristiceps aurantiacus","Animalia","Chordata","Teleostei","Blenniiformes","Clinidae","Cristiceps","Cristiceps aurantiacus",13.03578745017
"Crocodilichthys gracilis","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Crocodilichthys","Crocodilichthys gracilis",10.8003999666824
"Crossosalarias macrospilus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Crossosalarias","Crossosalarias macrospilus",7.98082148566212
"Cryptichthys jojettae","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Cryptichthys","Cryptichthys jojettae",7.36548200845137
"Cryptocentrus caeruleomaculatus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","Cryptocentrus caeruleomaculatus",23.8697911299626
"Cryptocentrus caeruleopunctatus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","Cryptocentrus caeruleopunctatus",22.7439580685932
"Cryptocentrus cryptocentrus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","Cryptocentrus cryptocentrus",23.3708779521959
"Cryptocentrus fasciatus",NA,NA,NA,NA,NA,NA,NA,25.7822621630804
"Cryptocentrus strigilliceps","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","Cryptocentrus strigilliceps",24.1388571270501
"Ctenochaetus binotatus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus binotatus",4.80268388968355
"Ctenochaetus cyanocheilus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus cyanocheilus",4.76466984518096
"Ctenochaetus flavicauda","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus flavicauda",3.87946382011452
"Ctenochaetus hawaiiensis","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus hawaiiensis",4.28328170414069
"Ctenochaetus marginatus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus marginatus",8.35986839378373
"Ctenochaetus striatus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus striatus",5.34954081050549
"Ctenochaetus tominiensis","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus tominiensis",6.02896017387563
"Ctenochaetus truncatus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus truncatus",3.06060509228219
"Ctenogobiops aurocingulus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobiops","Ctenogobiops aurocingulus",17.575786092368
"Ctenogobiops crocineus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobiops","Ctenogobiops crocineus",16.4772506057129
"Ctenogobiops feroculus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobiops","Ctenogobiops feroculus",18.5686214775691
"Ctenogobiops maculosus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobiops","Ctenogobiops maculosus",15.7278714532216
"Ctenogobiops mitodes","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobiops","Ctenogobiops mitodes",17.7106673373019
"Ctenogobiops pomastictus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobiops","Ctenogobiops pomastictus",16.9032773909453
"Ctenogobiops tangaroai","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Ctenogobiops","Ctenogobiops tangaroai",16.2554239711559
"Ctenolabrus rupestris","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Ctenolabrus","Ctenolabrus rupestris",3.87378064685911
"Cybiosarda elegans","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Cybiosarda","Cybiosarda elegans",40.2427867128909
"Cyclichthys orbicularis","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Cyclichthys","Cyclichthys orbicularis",36.4560024637737
"Cymatoceps nasutus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Cymatoceps","Cymatoceps nasutus",11.4673847200615
"Cymatogaster aggregata","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Cymatogaster","Cymatogaster aggregata",8.97217279773487
"Cymbacephalus beauforti","Animalia","Chordata","Teleostei","Perciformes","Platycephalidae","Cymbacephalus","Cymbacephalus beauforti",25.9246764605254
"Cypho purpurascens","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pseudochromidae","Cypho","Cypho purpurascens",9.4715241733255
"Cypho zaps","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pseudochromidae","Cypho","Cypho zaps",11.4174365534661
"Cyprinocirrhites polyactis","Animalia","Chordata","Teleostei","Centrarchiformes","Cirrhitidae","Cyprinocirrhites","Cyprinocirrhites polyactis",13.8397020248155
"Dactylophora nigricans","Animalia","Chordata","Teleostei","Centrarchiformes","Cheilodactylidae","Dactylophora","Dactylophora nigricans",11.7356342496609
"Dactylopus dactylopus","Animalia","Chordata","Teleostei","Callionymiformes","Callionymidae","Dactylopus","Dactylopus dactylopus",15.254994371297
"Daector reticulata","Animalia","Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Daector","Daector reticulata",11.6706012306961
"Daector schmitti","Animalia","Chordata","Teleostei","Batrachoidiformes","Batrachoididae","Daector","Daector schmitti",14.0758042380143
"Dascyllus albisella","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus albisella",10.0937246506258
"Dascyllus aruanus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus aruanus",5.63659305466843
"Dascyllus carneus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus carneus",6.77002175074401
"Dascyllus flavicaudus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus flavicaudus",9.47223708218846
"Dascyllus marginatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus marginatus",7.90849098191291
"Dascyllus melanurus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus melanurus",5.59352924897882
"Dascyllus reticulatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus reticulatus",9.6351010436658
"Dascyllus strasburgi","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus strasburgi",6.3863570693249
"Dascyllus trimaculatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus trimaculatus",10.6063740044771
"Decapterus koheru","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus","Decapterus koheru",9.64255434938919
"Decapterus macarellus","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus","Decapterus macarellus",10.233896731076
"Decapterus muroadsi","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus","Decapterus muroadsi",5.86993485576412
"Decapterus punctatus","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Decapterus","Decapterus punctatus",13.427353617142
"Dellichthys morelandi","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Dellichthys","Dellichthys morelandi",12.7108370113265
"Dendrochirus barberi","Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Dendrochirus","Dendrochirus barberi",11.4708045863503
"Dendrochirus zebra","Animalia","Chordata","Teleostei","Perciformes","Scorpaenidae","Dendrochirus","Dendrochirus zebra",10.3574563816686
"Dentex dentex","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Dentex","Dentex dentex",27.8543967497289
"Dermatolepis dermatolepis","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Dermatolepis","Dermatolepis dermatolepis",9.37741653522268
"Diademichthys lineatus","Animalia","Chordata","Teleostei","Gobiesociformes","Gobiesocidae","Diademichthys","Diademichthys lineatus",15.0970100632942
"Diagramma labiosum","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Diagramma","Diagramma labiosum",9.4023011617515
"Diagramma melanacrum","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Diagramma","Diagramma melanacrum",27.5111301534764
"Dialommus fuscus","Animalia","Chordata","Teleostei","Blenniiformes","Labrisomidae","Dialommus","Dialommus fuscus",37.9271061988359
"Dicentrarchus labrax","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus","Dicentrarchus labrax",14.0415533000001
"Dicentrarchus punctatus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Moronidae","Dicentrarchus","Dicentrarchus punctatus",18.10743122
"Dichistius capensis","Animalia","Chordata","Teleostei","Centrarchiformes","Dichistiidae","Dichistius","Dichistius capensis",8.80187902256484
"Dicotylichthys punctulatus","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Dicotylichthys","Dicotylichthys punctulatus",6.28612884548606
"Didogobius amicuscaridis","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Didogobius","Didogobius amicuscaridis",16.7961896397088
"Dinolestes lewini","Animalia","Chordata","Teleostei","Acropomatiformes","Dinolestidae","Dinolestes","Dinolestes lewini",32.6696705712516
"Diodon holocanthus","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Diodon","Diodon holocanthus",7.51405813875773
"Diodon hystrix","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Diodon","Diodon hystrix",4.61977445407099
"Diodon liturosus","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Diodon","Diodon liturosus",5.06409654293058
"Diodon nicthemerus","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Diodon","Diodon nicthemerus",4.0797636519844
"Diplodus annularis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus annularis",12.3927805541542
"Diplodus argenteus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus argenteus",NA
"Diplodus capensis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus capensis",10.7844824717751
"Diplodus cervinus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus cervinus",NA
"Diplodus puntazzo","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus puntazzo",14.3533365675112
"Diplodus sargus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus sargus",NA
"Diplodus vulgaris","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Diplodus","Diplodus vulgaris",14.1976635940841
"Diplogrammus goramensis","Animalia","Chordata","Teleostei","Callionymiformes","Callionymidae","Diplogrammus","Diplogrammus goramensis",17.9561358770521
"Diplogrammus xenicus","Animalia","Chordata","Teleostei","Callionymiformes","Callionymidae","Diplogrammus","Diplogrammus xenicus",16.8712826243716
"Diploprion bifasciatum","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Diploprion","Diploprion bifasciatum",20.1524000354158
"Diproctacanthus xanthurus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Diproctacanthus","Diproctacanthus xanthurus",10.4764183762797
"Dipterygonotus balteatus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Dipterygonotus","Dipterygonotus balteatus",4.69352421311509
"Dischistodus chrysopoecilus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dischistodus","Dischistodus chrysopoecilus",8.08177464532054
"Dischistodus darwiniensis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dischistodus","Dischistodus darwiniensis",7.81068111511199
"Dischistodus melanotus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dischistodus","Dischistodus melanotus",8.24220329579901
"Dischistodus perspicillatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dischistodus","Dischistodus perspicillatus",8.62294429631209
"Dischistodus prosopotaenia","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dischistodus","Dischistodus prosopotaenia",7.96740326651402
"Dischistodus pseudochrysopoecilus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dischistodus","Dischistodus pseudochrysopoecilus",8.62011354321137
"Doratonotus megalepis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Doratonotus","Doratonotus megalepis",9.40012298058307
"Dotalabrus alleni","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Dotalabrus","Dotalabrus alleni",10.8522757201204
"Dotalabrus aurantiacus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Dotalabrus","Dotalabrus aurantiacus",10.6415956154023
"Dules auriga","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Dules","Dules auriga",13.0536333382017
"Echeneis naucrates","Animalia","Chordata","Teleostei","Carangiformes","Echeneidae","Echeneis","Echeneis naucrates",4.01303081164828
"Echeneis neucratoides","Animalia","Chordata","Teleostei","Carangiformes","Echeneidae","Echeneis","Echeneis neucratoides",2.702588
"Echidna nebulosa","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Echidna","Echidna nebulosa",16.6516256126375
"Echidna nocturna","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Echidna","Echidna nocturna",50.8779021814605
"Ecsenius aequalis","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius aequalis",8.48589038573081
"Ecsenius alleni","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius alleni",9.56065405924653
"Ecsenius bandanus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius bandanus",9.36545440911369
"Ecsenius bathi","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius bathi",7.83261543501152
"Ecsenius bicolor","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius bicolor",9.06154811555025
"Ecsenius fijiensis","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius fijiensis",6.21141491836958
"Ecsenius fourmanoiri","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius fourmanoiri",6.86204173223305
"Ecsenius frontalis","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius frontalis",6.67205857528222
"Ecsenius gravieri","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius gravieri",8.64144518666106
"Ecsenius kurti","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius kurti",6.894695993515
"Ecsenius lineatus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius lineatus",10.1375514142661
"Ecsenius lividanalis","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius lividanalis",9.59436623796153
"Ecsenius midas","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius midas",9.88258393174526
"Ecsenius minutus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius minutus",8.74656070910121
"Ecsenius nalolo","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius nalolo",16.1871727264164
"Ecsenius namiyei","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius namiyei",9.03739211192359
"Ecsenius oculatus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius oculatus",9.11994745381581
"Ecsenius prooculis","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius prooculis",7.26494563064696
"Ecsenius randalli","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius randalli",9.84879110559574
"Ecsenius schroederi","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius schroederi",9.2898785085084
"Ecsenius stictus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius stictus",8.22219755144151
"Ecsenius stigmatura","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius stigmatura",8.62472047330206
"Ecsenius tigris","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius tigris",9.10226181715989
"Ecsenius tricolor","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius tricolor",7.71729434496439
"Ecsenius trilineatus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius trilineatus",7.50298628829885
"Ecsenius yaeyamaensis","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Ecsenius","Ecsenius yaeyamaensis",8.04796805985732
"Ekemblemaria myersi","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Ekemblemaria","Ekemblemaria myersi",20.4760339037473
"Elacatinus atronasus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus atronasus",9.06923671622857
"Elacatinus cayman","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus cayman",NA
"Elacatinus centralis","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus centralis",NA
"Elacatinus evelynae","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus evelynae",11.0459293135704
"Elacatinus figaro","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus figaro",11.9103320574937
"Elacatinus genie","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus genie",9.53523522213411
"Elacatinus horsti","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus horsti",16.8996912346127
"Elacatinus jarocho","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus jarocho",30.8454596549427
"Elacatinus oceanops","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus oceanops",9.82612630872006
"Elacatinus prochilos","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus prochilos",10.9401356554633
"Elacatinus puncticulatus","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus puncticulatus",20.9913297328497
"Elacatinus randalli","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus randalli",12.3339805712963
"Elacatinus xanthiprora","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Elacatinus","Elacatinus xanthiprora",19.3930156192238
"Elagatis bipinnulata","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Elagatis","Elagatis bipinnulata",34.3931730446972
"Eleotrica cableae","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Eleotrica","Eleotrica cableae",26.8801509517654
"Elops affinis","Animalia","Chordata","Teleostei","Elopiformes","Elopidae","Elops","Elops affinis",130.966261
"Embiotoca jacksoni","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Embiotoca","Embiotoca jacksoni",5.97020129804716
"Embiotoca lateralis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Embiotoca","Embiotoca lateralis",5.39356028110247
"Emblemariopsis pricei","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Emblemariopsis","Emblemariopsis pricei",15.478563674194
"Emblemariopsis signifer","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Emblemariopsis","Emblemariopsis signifer",12.8176759199997
"Enchelycore lichenosa","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Enchelycore","Enchelycore lichenosa",21.2772887902808
"Enchelycore ramosa","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Enchelycore","Enchelycore ramosa",21.5583440471068
"Engraulis australis","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis australis",101.601236399999
"Enneanectes carminalis","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneanectes","Enneanectes carminalis",8.44965487979595
"Enneanectes smithi","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneanectes","Enneanectes smithi",11.6891625686631
"Enneapterygius atrogulare","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius atrogulare",9.67843927881271
"Enneapterygius hemimelas","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius hemimelas",8.33389706258732
"Enneapterygius kermadecensis","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius kermadecensis",9.0826784184336
"Enneapterygius larsonae","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius larsonae",9.81476278915442
"Enneapterygius mirabilis","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius mirabilis",8.24682038811208
"Enneapterygius rufopileus","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius rufopileus",13.9966964284445
"Enneapterygius similis","Animalia","Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius similis",11.7311514575889
"Enophrys diceraus","Animalia","Chordata","Teleostei","Perciformes","Cottidae","Enophrys","Enophrys diceraus",24.6198414092666
"Enoplosus armatus","Animalia","Chordata","Teleostei","Centrarchiformes","Enoplosidae","Enoplosus","Enoplosus armatus",19.606706147161
"Entomacrodus chapmani","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Entomacrodus","Entomacrodus chapmani",8.87371676915997
"Entomacrodus solus","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Entomacrodus","Entomacrodus solus",9.02570718653577
